69222, -1117, 3359, -1548, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69261, -1258, 3489, -1495, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69300, -1172, 3659, -1684, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69343, -1209, 3564, -1590, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69387, -1186, 3499, -1573, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69431, -1178, 3465, -1647, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69474, -1315, 3661, -1676, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69518, -1306, 3605, -1757, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69562, -1290, 3615, -1731, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69605, -1247, 3495, -1687, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69649, -1223, 3468, -1601, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69693, -1254, 3491, -1656, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69737, -1266, 3475, -1662, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69773, -1232, 3586, -1657, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69810, -1265, 3514, -1646, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69846, -1208, 3452, -1711, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69883, -1282, 3501, -1596, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69920, -1305, 3580, -1700, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69956, -1268, 3506, -1701, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
69993, -1287, 3448, -1654, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70029, -1312, 3583, -1622, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70066, -1261, 3474, -1699, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70103, -1302, 3510, -1625, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70139, -1301, 3538, -1681, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70175, -1309, 3504, -1652, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70211, -1335, 3460, -1662, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70248, -1314, 3535, -1682, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70284, -1323, 3519, -1683, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70320, -1291, 3515, -1676, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70356, -1298, 3496, -1663, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70393, -1305, 3518, -1659, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70429, -1292, 3503, -1659, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70465, -1285, 3504, -1673, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70502, -1309, 3475, -1619, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70546, -1287, 3478, -1692, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70590, -1297, 3486, -1692, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70634, -1280, 3493, -1669, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70678, -1299, 3520, -1688, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70722, -1255, 3504, -1742, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70766, -1262, 3474, -1680, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70810, -1257, 3527, -1742, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70854, -1262, 3517, -1699, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70898, -1272, 3520, -1698, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70943, -1259, 3481, -1724, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
70980, -1258, 3509, -1734, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71017, -1272, 3495, -1730, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71054, -1253, 3498, -1745, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71091, -1250, 3475, -1711, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71128, -1229, 3484, -1732, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71166, -1237, 3518, -1732, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71203, -1249, 3522, -1735, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71240, -1275, 3542, -1736, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71277, -1217, 3465, -1737, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71314, -1271, 3489, -1723, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71352, -1224, 3471, -1735, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71385, -1241, 3485, -1753, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71419, -1245, 3507, -1719, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71452, -1280, 3489, -1721, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71486, -1246, 3500, -1765, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71519, -1222, 3472, -1734, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71553, -1240, 3489, -1736, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71586, -1241, 3517, -1738, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71620, -1241, 3474, -1727, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71653, -1242, 3515, -1742, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71687, -1258, 3484, -1747, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71728, -1221, 3487, -1723, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71769, -1257, 3464, -1725, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71811, -1233, 3493, -1778, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71852, -1215, 3471, -1735, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71894, -1264, 3508, -1724, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71935, -1214, 3548, -1784, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
71976, -1211, 3442, -1766, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72018, -1216, 3499, -1744, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72059, -1242, 3468, -1720, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72101, -1243, 3433, -1722, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72138, -1230, 3507, -1745, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
