116326, 214, 4030, 379, 79, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116366, 232, 3928, 362, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116407, 298, 3964, 330, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116448, 308, 4096, 264, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116489, 285, 4150, 270, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116530, 270, 4146, 250, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116570, 245, 4196, 257, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116611, 216, 4089, 328, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116652, 225, 4054, 281, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116693, 230, 4051, 234, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116734, 208, 4109, 166, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116770, 254, 4092, 203, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116806, 279, 4099, 169, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116843, 224, 4091, 139, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116879, 235, 4116, 167, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116916, 231, 4099, 143, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116952, 182, 4100, 91, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
116989, 190, 4118, 88, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
117025, 240, 4121, 102, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
117062, 237, 4105, 82, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
117098, 259, 4128, 99, 78, 1f1e54b6-02ed-422a-b04a-e035436ad25e, , berdiri, bersedekap, , 
