87045, -934, 3541, -1861, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87082, -1170, 3633, -1805, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87119, -822, 3583, -1846, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87156, -1022, 3503, -1750, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87193, -642, 3436, -2047, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87230, -721, 3425, -1872, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87268, -811, 3549, -1923, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87307, -845, 3542, -1771, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87346, -778, 3632, -1755, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87384, -788, 3653, -1702, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87423, -812, 3647, -1824, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87462, -899, 3688, -1797, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87500, -877, 3673, -1755, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87539, -840, 3639, -1774, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87578, -847, 3525, -1779, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87617, -813, 3525, -1800, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87659, -807, 3573, -1824, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87702, -834, 3541, -1796, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87744, -839, 3517, -1787, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87787, -811, 3597, -1801, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87830, -827, 3532, -1818, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87872, -866, 3564, -1816, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87915, -861, 3619, -1824, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
87957, -829, 3580, -1852, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88000, -863, 3568, -1824, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88043, -889, 3541, -1829, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88077, -849, 3543, -1840, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88112, -855, 3553, -1837, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88147, -846, 3561, -1828, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88182, -861, 3562, -1800, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88217, -862, 3604, -1836, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88251, -854, 3580, -1853, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88286, -877, 3569, -1777, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88321, -842, 3565, -1797, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88356, -852, 3548, -1806, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88391, -849, 3540, -1786, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88426, -871, 3548, -1785, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88465, -837, 3612, -1842, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88504, -888, 3525, -1762, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88543, -832, 3571, -1774, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88582, -846, 3564, -1763, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88621, -847, 3592, -1801, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88660, -833, 3594, -1764, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88699, -823, 3575, -1782, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88738, -830, 3613, -1811, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88777, -898, 3578, -1752, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88817, -832, 3577, -1795, 56, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88854, -824, 3566, -1809, 57, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88891, -838, 3580, -1771, 57, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88928, -836, 3589, -1772, 57, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
88965, -842, 3592, -1754, 57, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
89002, -891, 3642, -1807, 57, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
89040, -890, 3665, -1789, 57, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
89077, -854, 3643, -1777, 57, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
89114, -834, 3545, -1782, 57, 21ed6b9e-4f44-42ee-b064-9375e1c14c5f, , berdiri, bersedekap, , 
