26223, -144, 3798, -1371, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26271, -177, 3875, -1480, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26319, -185, 3801, -1402, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26347, -154, 3817, -1447, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26376, -183, 3817, -1434, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26404, -169, 3783, -1427, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26433, -115, 3913, -1523, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26461, -237, 3734, -1406, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26490, -131, 3880, -1433, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26518, -152, 3890, -1499, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26547, -148, 3913, -1258, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26575, -125, 3881, -1424, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26604, -86, 3964, -1348, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26633, -232, 3825, -1327, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26673, -60, 3868, -1371, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26714, -136, 3892, -1331, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26754, -164, 3879, -1355, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26795, -176, 3878, -1264, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26835, -92, 3825, -1394, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26876, -149, 3944, -1278, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26916, -175, 3674, -1372, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26957, -215, 3834, -1259, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
26997, -389, 3838, -1234, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27038, -297, 4014, -1591, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27072, -287, 4132, -1508, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27107, -305, 3942, -1521, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27141, -263, 3953, -1341, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27176, -253, 3816, -1323, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27210, -188, 3695, -1299, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27245, -233, 3777, -1335, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27279, -236, 3789, -1397, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27314, -286, 3894, -1393, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27348, -271, 3904, -1463, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27383, -218, 3948, -1405, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27418, -295, 3922, -1393, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27461, -273, 3835, -1393, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27505, -242, 3843, -1362, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27549, -258, 3871, -1312, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27593, -245, 3844, -1266, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27637, -247, 3777, -1201, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27681, -246, 3834, -1220, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27725, -195, 3810, -1346, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27769, -231, 3922, -1274, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27813, -242, 3839, -1255, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27857, -240, 3854, -1301, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27898, -268, 3863, -1263, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
27939, -250, 3944, -1360, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
