226036, 162, 4067, -876, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226077, 132, 3953, -866, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226119, 153, 3831, -855, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226160, 180, 3777, -882, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226202, 212, 3830, -994, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226243, 259, 3775, -853, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226285, 175, 3916, -900, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226326, 155, 4086, -992, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226368, 194, 4032, -925, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226409, 224, 4004, -1002, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226451, 236, 4075, -981, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226484, 279, 3994, -989, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226518, 248, 3940, -1012, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226552, 269, 3995, -1006, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226586, 265, 3994, -974, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226620, 241, 3960, -1002, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226654, 224, 3957, -996, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226688, 252, 3975, -964, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226722, 269, 4003, -941, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226756, 285, 3998, -970, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226790, 290, 3975, -901, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226824, 250, 4014, -970, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226865, 250, 3980, -951, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226906, 261, 4042, -957, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226947, 264, 3959, -879, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
226988, 254, 3955, -893, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
227030, 272, 3994, -904, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
227071, 274, 4020, -891, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
