37507, 39, 4127, 247, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37548, 22, 4115, 255, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37589, -10, 4075, 299, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37623, -17, 4100, 251, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37658, -2, 4093, 278, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37693, 6, 4094, 260, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37728, -8, 4125, 255, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37763, -13, 4086, 266, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37797, 4, 4132, 223, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37832, -13, 4113, 219, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37867, -5, 4080, 252, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37902, -25, 4131, 189, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37937, -36, 4122, 187, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
37977, -37, 4099, 225, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38017, -49, 4082, 208, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38057, -37, 4116, 202, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38098, -35, 4094, 194, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38138, -23, 4096, 212, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38178, -42, 4120, 169, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38219, -56, 4082, 201, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38259, -34, 4080, 187, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38299, -45, 4106, 190, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38340, -41, 4124, 189, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38376, -55, 4121, 178, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38412, -61, 4109, 159, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38448, -36, 4090, 174, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38485, -3, 4094, 205, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38521, -39, 4126, 158, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38557, -29, 4077, 161, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38593, -35, 4090, 180, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38630, -34, 4103, 156, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38666, -29, 4121, 145, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38702, -27, 4070, 168, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38739, -40, 4109, 156, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38777, -34, 4117, 142, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38816, -13, 4105, 143, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38854, -30, 4074, 147, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38893, -35, 4120, 152, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38931, -13, 4072, 154, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
38970, -28, 4096, 135, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39008, -45, 4120, 107, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39047, -37, 4126, 139, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39085, -47, 4103, 116, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39124, -45, 4121, 111, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
