80028, -621, 3994, -1043, 96, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80070, -660, 3898, -1155, 96, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80112, -614, 3929, -1027, 96, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80154, -601, 3895, -1118, 96, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80196, -642, 3910, -1061, 96, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80238, -666, 3907, -1103, 96, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80272, -626, 3945, -1090, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80306, -680, 3971, -1040, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80340, -663, 4058, -1162, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80375, -693, 3894, -1033, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80409, -635, 3832, -1051, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80443, -632, 3861, -1040, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80477, -675, 3836, -1050, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80512, -673, 3899, -1071, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80546, -668, 3834, -1068, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80580, -626, 3872, -1101, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80615, -659, 3909, -1029, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80661, -659, 3924, -1123, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80708, -679, 3981, -1091, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80754, -689, 3906, -1094, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80801, -754, 3865, -973, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80848, -695, 3870, -1115, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80894, -673, 3914, -1045, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80941, -705, 3897, -1025, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
80987, -722, 3913, -1069, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81034, -728, 3879, -1051, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81081, -699, 3895, -1058, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81112, -726, 3943, -1075, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81143, -692, 3911, -1078, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81174, -757, 4016, -1087, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81205, -692, 4018, -987, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81236, -679, 3997, -991, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81268, -648, 3953, -985, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81299, -726, 4027, -932, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81330, -727, 3902, -892, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81361, -705, 3768, -763, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81392, -696, 3671, -781, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81424, -650, 3757, -863, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81463, -765, 3784, -815, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81502, -754, 3890, -905, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81541, -800, 4007, -914, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81580, -715, 4050, -1083, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81619, -714, 4089, -982, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81658, -640, 3917, -1049, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81697, -651, 3760, -1026, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81736, -672, 3879, -1098, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81775, -693, 3913, -1100, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81815, -641, 4014, -1136, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81856, -642, 3968, -1088, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81898, -630, 3921, -1124, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81940, -616, 3885, -1185, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
81982, -653, 3873, -1087, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82024, -648, 3885, -1094, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
