488262, -989, 3886, -977, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488298, -968, 3837, -881, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488335, -946, 3875, -1019, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488372, -958, 3844, -966, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488408, -968, 3835, -953, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488445, -1013, 3842, -973, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488482, -981, 3892, -967, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488519, -974, 3860, -927, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488561, -949, 3848, -947, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488603, -949, 3855, -964, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488646, -969, 3896, -983, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488688, -985, 3910, -947, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488730, -1005, 3856, -929, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488773, -962, 3874, -982, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488815, -946, 3817, -948, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488857, -934, 3878, -937, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488900, -963, 3888, -970, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488942, -938, 3895, -957, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
488985, -983, 3874, -937, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489017, -923, 3892, -985, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489049, -941, 3858, -965, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489081, -933, 3826, -935, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489114, -946, 3854, -966, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489146, -987, 3861, -902, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489178, -943, 3869, -1032, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489211, -926, 3917, -969, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489243, -968, 3845, -950, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489275, -913, 3849, -994, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489308, -929, 3834, -1004, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489343, -931, 3846, -989, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489378, -929, 3866, -1025, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489413, -921, 3851, -965, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489448, -926, 3835, -1025, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489483, -926, 3877, -1067, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489518, -917, 3871, -1010, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489553, -898, 3851, -1037, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489588, -940, 3911, -1037, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489623, -926, 3901, -1052, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489658, -956, 3914, -1056, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489693, -956, 3900, -1018, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489737, -937, 3850, -1019, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489782, -940, 3840, -1013, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489827, -946, 3844, -1018, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489872, -949, 3806, -997, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489917, -955, 3816, -1016, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
489961, -941, 3814, -1011, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490006, -931, 3819, -1043, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490051, -942, 3810, -969, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490096, -912, 3849, -1007, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490141, -957, 3831, -1009, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490183, -980, 3835, -1021, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490226, -998, 3864, -1016, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490269, -971, 3896, -1022, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490312, -994, 3874, -1014, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490355, -958, 3844, -1012, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490398, -934, 3818, -986, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490441, -975, 3846, -1014, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490484, -990, 3833, -996, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490527, -968, 3855, -989, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490570, -982, 3837, -961, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490605, -987, 3858, -1003, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490641, -987, 3871, -990, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490676, -974, 3865, -999, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490712, -977, 3843, -981, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490748, -964, 3863, -1014, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490783, -965, 3828, -1026, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490819, -993, 3893, -906, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490855, -960, 3817, -1024, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490890, -938, 3899, -979, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490926, -958, 3867, -988, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
490962, -957, 3849, -995, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491001, -962, 3850, -997, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491041, -964, 3828, -1013, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491081, -962, 3822, -1016, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491121, -963, 3877, -1029, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491161, -984, 3854, -985, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491201, -983, 3866, -999, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491241, -958, 3799, -980, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491281, -949, 3809, -986, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491321, -968, 3838, -982, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491361, -986, 3874, -1021, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491397, -970, 3852, -974, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491433, -987, 3828, -983, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491469, -979, 3837, -985, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491505, -935, 3842, -1002, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491542, -982, 3851, -993, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491578, -982, 3819, -1002, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491614, -999, 3898, -1007, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491650, -964, 3856, -1018, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491686, -977, 3853, -976, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491723, -962, 3859, -979, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491757, -972, 3831, -967, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491792, -985, 3839, -1011, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491827, -991, 3866, -1012, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491862, -971, 3870, -961, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491897, -963, 3890, -970, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491931, -937, 3910, -957, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
491966, -964, 3904, -971, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492001, -954, 3842, -981, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492036, -939, 3847, -971, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492071, -963, 3841, -948, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492106, -979, 3863, -947, 77, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492148, -963, 3887, -981, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492190, -952, 3857, -953, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492232, -944, 3893, -970, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492274, -957, 3886, -936, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492316, -931, 3843, -968, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492358, -964, 3849, -952, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492400, -923, 3872, -972, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492442, -953, 3864, -948, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492484, -961, 3844, -970, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492527, -943, 3780, -967, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492567, -949, 3812, -950, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492607, -969, 3862, -975, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492647, -952, 3881, -1001, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492688, -930, 3867, -988, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492728, -945, 3864, -952, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492768, -938, 3857, -964, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492808, -952, 3869, -971, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492849, -951, 3830, -954, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492889, -958, 3877, -948, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492929, -958, 3856, -971, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
492970, -992, 3889, -967, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493010, -971, 3830, -960, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493050, -967, 3846, -985, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493090, -991, 3878, -922, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493131, -972, 3836, -1009, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493171, -949, 3833, -955, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493211, -957, 3874, -982, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493252, -945, 3842, -1007, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493292, -955, 3817, -982, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493332, -963, 3849, -1008, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493373, -958, 3866, -1007, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493408, -945, 3835, -992, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493443, -953, 3874, -972, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493478, -953, 3895, -1008, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493514, -932, 3875, -1007, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493549, -940, 3842, -970, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493584, -933, 3881, -1010, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493620, -935, 3840, -998, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493655, -946, 3857, -980, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493690, -951, 3882, -1012, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493726, -923, 3842, -994, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493769, -928, 3863, -1019, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493812, -982, 3864, -988, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493855, -951, 3843, -1010, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493899, -936, 3871, -971, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493942, -948, 3908, -1024, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
493985, -967, 3820, -995, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494028, -926, 3823, -1008, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494072, -932, 3879, -1032, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494115, -959, 3857, -1048, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494158, -921, 3856, -994, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494202, -924, 3892, -1035, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494232, -933, 3887, -1019, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494263, -935, 3845, -1005, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494293, -927, 3879, -1030, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494324, -899, 3830, -1017, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494354, -913, 3889, -1033, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494385, -910, 3839, -1039, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494415, -908, 3873, -1025, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494446, -893, 3848, -1063, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494476, -925, 3842, -993, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494507, -887, 3849, -1064, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494544, -909, 3888, -1010, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
494582, -923, 3891, -1036, 76, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
