100115, -970, 3863, -735, 98, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100146, -930, 3866, -726, 98, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100178, -914, 3898, -724, 98, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100209, -787, 3919, -855, 98, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100241, -1001, 3727, -708, 98, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100272, -1069, 3949, -830, 98, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100304, -986, 4039, -773, 98, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100336, -1036, 3811, -770, 98, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100377, -1029, 3875, -768, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100418, -1018, 3879, -681, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100459, -973, 3850, -780, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100500, -996, 3924, -761, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100541, -1054, 3878, -752, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100582, -1050, 3864, -763, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100623, -1038, 3894, -761, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100664, -1061, 3883, -811, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100705, -1053, 3894, -827, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100747, -1025, 3895, -753, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100785, -1054, 3848, -727, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100824, -1060, 3930, -789, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100862, -1034, 3878, -760, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100901, -1041, 3851, -775, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100940, -1057, 3856, -788, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
100978, -1066, 3872, -782, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101017, -1075, 3883, -766, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101055, -1048, 3855, -813, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101094, -1105, 3903, -742, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101133, -1015, 3879, -810, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101170, -1055, 3915, -769, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101208, -1119, 3854, -770, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101246, -1104, 3805, -773, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101284, -1096, 3861, -757, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101322, -994, 4021, -672, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101360, -1041, 3898, -787, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101398, -1051, 3897, -766, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
