144885, -84, 4002, 727, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
144922, -144, 4009, 655, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
144958, -132, 4020, 620, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
144995, -45, 4028, 624, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145032, -83, 4048, 652, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145068, -64, 4083, 598, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145105, -16, 4096, 552, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145142, 9, 4123, 544, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145179, -7, 4095, 502, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145221, -39, 4096, 469, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145264, -67, 4098, 517, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145307, -61, 4116, 486, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145350, -62, 4104, 465, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145393, -36, 4130, 421, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145436, -64, 4116, 435, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145479, -70, 4080, 422, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145522, -57, 4058, 471, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145565, -76, 4107, 501, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
