99094, -222, 4205, -1080, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99134, -151, 3998, -965, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99174, -120, 3795, -1025, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99213, -134, 3644, -1112, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99253, -122, 3663, -1106, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99293, -179, 3892, -1077, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99333, -172, 3997, -1104, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99373, -195, 4172, -1190, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99408, -149, 4057, -1248, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99443, -156, 4048, -1116, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99479, -129, 3935, -1050, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99514, -106, 3830, -1094, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99550, -148, 3910, -1150, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99585, -155, 3966, -1180, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99621, -116, 3937, -1151, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99656, -129, 3934, -1153, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99692, -95, 3912, -1099, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99727, -105, 3912, -1190, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99763, -80, 3961, -1279, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99810, -90, 3982, -1267, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99857, -74, 3906, -1225, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99904, -56, 3908, -1121, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99951, -49, 3880, -1205, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
99998, -87, 3896, -1225, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100045, -76, 3926, -1260, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100092, -98, 3908, -1232, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100139, -94, 3926, -1214, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100186, -84, 3905, -1201, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100233, -79, 3902, -1206, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100269, -84, 3908, -1223, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100305, -72, 3902, -1218, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100341, -97, 3929, -1331, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100377, -77, 3908, -1289, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100413, -67, 3883, -1265, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
