31828, -690, 3979, -577, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
31864, -704, 3985, -559, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
31900, -722, 4004, -594, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
31936, -695, 4014, -595, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
31972, -691, 4027, -564, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32008, -653, 4001, -582, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32048, -637, 4029, -577, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32088, -673, 4033, -598, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32128, -627, 3983, -616, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32169, -686, 4003, -602, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32209, -674, 3993, -613, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32249, -664, 3998, -603, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32290, -663, 3980, -594, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32330, -691, 3987, -625, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32370, -700, 3978, -610, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32411, -705, 4020, -601, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32453, -657, 4029, -569, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32495, -626, 3981, -652, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32538, -666, 4019, -640, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32580, -683, 4019, -602, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32623, -653, 3985, -587, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32665, -647, 4008, -630, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32707, -653, 3962, -633, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32750, -660, 3996, -642, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32792, -669, 4028, -627, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32835, -686, 3981, -630, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32869, -648, 3979, -635, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32903, -642, 4002, -643, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32937, -665, 3988, -660, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
32971, -690, 3990, -636, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33005, -638, 3996, -644, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33040, -656, 3980, -634, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33074, -636, 3995, -635, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33108, -644, 4012, -656, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
