218541, -29, 4083, 170, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218580, 11, 4150, 190, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218619, 58, 4004, 215, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218658, -10, 4036, 193, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218697, 62, 4135, 299, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218736, 13, 4125, 283, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218775, 39, 4177, 258, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218814, 51, 4118, 283, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218847, 33, 4134, 253, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218881, 40, 4098, 220, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218914, 62, 4070, 256, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218948, 33, 4094, 295, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
218981, 21, 4095, 268, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219015, 10, 4164, 268, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219048, -18, 4113, 302, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219082, -2, 4067, 316, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219115, 29, 4096, 280, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219149, 37, 4100, 250, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219183, 18, 4118, 242, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219223, 43, 4119, 243, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219264, 40, 4107, 275, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219305, -23, 4085, 267, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219346, -3, 4075, 275, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219387, 6, 4073, 265, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219428, 14, 4088, 255, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219469, -26, 4091, 267, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219510, 1, 4118, 321, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219551, -21, 4122, 321, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219592, -25, 4102, 284, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219633, -26, 4067, 266, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219674, -71, 4141, 283, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219716, 7, 4095, 322, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219757, 17, 4133, 238, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219798, 56, 4109, 236, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219840, 36, 4091, 262, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219881, 27, 4114, 316, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219922, 29, 4101, 331, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
