26602, -1018, 3222, -2431, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
26641, -986, 3021, -2310, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
26680, -934, 2968, -2491, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
26718, -885, 3185, -2619, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
26757, -853, 3074, -2597, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
26796, -800, 3262, -2646, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
26835, -841, 3141, -2522, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
26878, -886, 3127, -2432, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
26922, -877, 3055, -2441, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
26966, -933, 3069, -2463, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27009, -984, 3170, -2487, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27053, -926, 3214, -2627, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27097, -935, 3134, -2396, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27140, -933, 3158, -2469, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27184, -946, 3155, -2487, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27228, -972, 3079, -2358, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27272, -1037, 3161, -2401, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27306, -1045, 3190, -2423, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27340, -1066, 3135, -2359, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27374, -952, 3131, -2390, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27408, -925, 3084, -2362, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27442, -1005, 3120, -2365, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27477, -1049, 3147, -2357, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27511, -1012, 3127, -2371, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27545, -1028, 3165, -2395, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27579, -988, 3157, -2362, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27613, -1041, 3219, -2410, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27648, -982, 3115, -2429, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27686, -995, 3197, -2357, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27725, -1024, 3197, -2438, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27764, -1015, 3149, -2396, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27802, -1024, 3165, -2384, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27841, -1025, 3215, -2483, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27880, -1016, 3152, -2367, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27918, -1026, 3150, -2312, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27957, -996, 3185, -2363, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
27996, -968, 3149, -2362, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28035, -993, 3172, -2340, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28075, -998, 3177, -2396, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28116, -1020, 3160, -2391, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28156, -1027, 3123, -2346, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28197, -993, 3108, -2385, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28237, -1033, 3187, -2340, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28278, -1047, 3210, -2493, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28318, -987, 3200, -2393, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28359, -980, 3159, -2412, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28399, -997, 3156, -2444, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28440, -969, 3108, -2402, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28475, -976, 3154, -2405, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28511, -966, 3167, -2452, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28546, -980, 3123, -2372, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28582, -988, 3166, -2379, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28617, -987, 3155, -2425, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28653, -973, 3170, -2407, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28688, -975, 3137, -2396, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28724, -987, 3134, -2390, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28759, -991, 3139, -2377, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28795, -980, 3157, -2410, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28831, -1013, 3184, -2409, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28871, -1010, 3176, -2384, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28911, -1018, 3195, -2404, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28951, -984, 3186, -2408, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
28992, -976, 3145, -2441, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29032, -979, 3100, -2402, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29072, -1022, 3138, -2371, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29113, -1041, 3183, -2437, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29153, -1003, 3200, -2463, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29193, -999, 3107, -2353, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
