14941, -590, 3795, -1256, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
14983, -622, 3731, -1299, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15025, -604, 3725, -1273, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15068, -631, 3766, -1316, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15105, -620, 3883, -1380, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15142, -604, 3894, -1366, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15179, -577, 3843, -1444, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15216, -564, 3964, -1449, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15253, -394, 3847, -1272, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15290, -522, 3879, -1339, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15327, -653, 3973, -1412, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15364, -679, 3799, -1342, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15401, -654, 3710, -1281, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15439, -674, 3592, -1328, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15479, -649, 3755, -1302, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15520, -660, 3758, -1334, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15561, -656, 3765, -1312, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15602, -720, 3861, -1330, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15643, -752, 3867, -1436, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15684, -810, 3879, -1383, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
15725, -743, 3802, -1360, , 9ffd7eee-c8db-4e92-8c63-6149e5ba53aa, , berdiri, bersedekap, , 
