14652, -1102, 3827, -1022, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
14692, -1043, 3674, -1036, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
14733, -1049, 3690, -1089, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
14773, -1269, 3903, -1148, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
14814, -1017, 3780, -1087, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
14855, -1141, 3913, -1042, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
14895, -980, 3801, -1063, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
14936, -1028, 3770, -1069, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
14976, -1044, 3786, -1085, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15017, -1049, 3806, -1052, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15058, -1056, 3819, -1062, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15098, -1129, 3876, -1041, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15139, -1048, 3721, -971, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15179, -997, 3699, -1041, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15220, -1106, 3919, -1031, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15261, -994, 3878, -1074, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15301, -1016, 3858, -1065, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15342, -1097, 3902, -961, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15383, -1044, 3809, -1047, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15423, -1069, 3854, -1005, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15464, -1016, 3836, -1014, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15505, -1002, 3797, -1109, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15539, -1052, 3805, -1073, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15574, -970, 3816, -1046, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15609, -1015, 3786, -1036, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15644, -1084, 3856, -1000, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
