416066, -761, 3780, -1095, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416109, -822, 3800, -1067, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416153, -858, 3849, -1051, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416183, -796, 3784, -974, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416214, -807, 3785, -1034, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416245, -798, 3687, -1012, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416276, -944, 3832, -980, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416307, -817, 3800, -1131, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416338, -858, 4120, -1099, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416369, -857, 4074, -1101, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416400, -867, 3991, -1051, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416431, -913, 3833, -977, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416462, -902, 3793, -1023, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416493, -920, 3826, -985, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416534, -954, 3827, -1005, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416575, -884, 3916, -1049, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416616, -915, 3801, -976, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416657, -864, 3818, -1002, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416698, -913, 3834, -968, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416739, -932, 3866, -1032, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416780, -949, 3875, -963, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416821, -935, 3879, -977, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416862, -928, 3854, -1009, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416903, -956, 3867, -978, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416941, -906, 3861, -1048, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
416979, -925, 3892, -993, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
417018, -933, 3870, -1036, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
417056, -928, 3830, -997, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
417095, -941, 3815, -968, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
