53959, -547, 4206, -1260, 83, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
53999, -595, 4069, -1231, 83, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54039, -572, 3849, -1107, 83, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54079, -397, 3725, -921, 83, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54119, -325, 3872, -1163, 83, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54157, -396, 3991, -1049, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54195, -480, 3872, -1020, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54233, -432, 3962, -943, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54271, -430, 3954, -908, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54309, -371, 4000, -933, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54347, -418, 4045, -1007, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54385, -462, 4061, -995, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54423, -472, 4064, -1023, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54461, -464, 3972, -946, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54499, -475, 3911, -979, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54537, -472, 3904, -996, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54574, -485, 3885, -942, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54611, -474, 3902, -988, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54648, -424, 3737, -1012, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54685, -468, 3959, -1056, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54723, -558, 3946, -953, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54760, -633, 4073, -977, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54797, -514, 4020, -1012, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54834, -472, 4061, -1060, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54871, -396, 4059, -1002, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54909, -437, 3943, -1000, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54946, -439, 4026, -956, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
54983, -434, 3888, -969, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55021, -451, 3894, -937, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55058, -477, 3904, -970, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55096, -426, 3895, -878, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55133, -475, 3936, -886, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55171, -460, 3928, -936, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55208, -403, 4032, -859, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55246, -441, 4021, -912, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55283, -451, 3990, -878, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
