102087, -1861, 3263, -1479, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102122, -1914, 3190, -1409, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102157, -1929, 3238, -1467, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102193, -2035, 3297, -1487, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102228, -1915, 3324, -1611, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102263, -1915, 3262, -1611, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102299, -1979, 3327, -1535, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102334, -1944, 3312, -1509, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102370, -1953, 3257, -1551, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102411, -1946, 3186, -1469, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102452, -1935, 3199, -1531, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102493, -1980, 3236, -1520, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102534, -1912, 3255, -1626, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102575, -1959, 3214, -1572, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102616, -1943, 3267, -1586, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102657, -1928, 3277, -1618, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102698, -1926, 3241, -1615, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102739, -1896, 3225, -1613, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102781, -1910, 3254, -1603, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102815, -1915, 3226, -1612, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102849, -1920, 3264, -1647, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102884, -1882, 3179, -1632, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102918, -1905, 3284, -1654, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102952, -1861, 3242, -1722, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
