85992, -1030, 3942, -753, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86028, -1017, 3829, -736, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86065, -988, 3918, -787, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86102, -957, 3928, -801, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86139, -980, 3941, -805, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86176, -1015, 3912, -914, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86212, -1008, 3946, -775, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86249, -999, 3849, -838, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86286, -1034, 3966, -706, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86323, -1055, 3785, -884, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86360, -1461, 4101, -859, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86397, -1075, 3887, -956, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86435, -1010, 3928, -844, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86474, -1044, 3851, -885, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86513, -1071, 3885, -851, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86552, -1072, 3869, -834, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86591, -1225, 3885, -873, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86629, -1068, 3851, -850, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86668, -1078, 3814, -831, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86707, -1083, 3894, -808, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86746, -1111, 3850, -887, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86785, -1082, 3872, -802, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86826, -1072, 3782, -864, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86868, -1089, 3844, -876, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86909, -1083, 3836, -878, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
86951, -1065, 3890, -830, 68, ff76f386-11e6-44bf-8e7e-481cb7e54c99, , berdiri, bersedekap, , 
