145255, 1232, 1704, 3158, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145294, 1179, 1675, 3513, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145333, 1249, 1660, 3426, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145372, 1454, 1763, 3483, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145411, 1583, 1990, 3253, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145450, 1334, 1692, 3201, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145489, 1116, 1499, 3709, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145528, 793, 1550, 3742, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145567, 803, 1589, 3810, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145606, 554, 1650, 3813, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145647, 417, 1546, 3704, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145688, 545, 1869, 4024, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145729, 1181, 2030, 3514, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145771, 1282, 1593, 3368, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145812, 1296, 1641, 3460, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145853, 1292, 1779, 3374, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145895, 1383, 1906, 3567, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145936, 1466, 1880, 3560, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
145977, 1472, 1944, 3409, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146019, 1509, 1849, 3320, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146053, 1712, 1927, 3294, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146088, 1724, 1786, 3330, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146123, 1709, 1842, 3303, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146157, 1652, 1867, 3307, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146192, 1686, 1854, 3321, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146227, 1778, 1928, 3333, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146262, 1804, 1874, 3273, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146296, 1744, 1817, 3302, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146331, 1768, 1843, 3368, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146366, 1692, 1824, 3229, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146401, 1683, 1924, 3308, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146442, 1655, 1872, 3269, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146484, 1676, 1905, 3335, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146525, 1670, 1857, 3316, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146567, 1601, 1805, 3311, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146608, 1661, 1906, 3360, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146650, 1673, 1795, 3320, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146691, 1668, 1847, 3375, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146733, 1683, 1926, 3292, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146774, 1764, 1921, 3287, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146816, 1754, 1832, 3246, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146852, 1781, 1928, 3269, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146888, 1662, 1828, 3360, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146924, 1615, 1934, 3314, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146960, 1591, 1928, 3299, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
146996, 1477, 1870, 3393, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147032, 1505, 1936, 3373, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147068, 1508, 2020, 3337, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147104, 1547, 1875, 3250, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147140, 1488, 1938, 3379, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147176, 1428, 1976, 3368, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147213, 1408, 1957, 3325, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147253, 1406, 2003, 3366, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147294, 1337, 2213, 3272, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147334, 1215, 2253, 3205, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147375, 1145, 2252, 3230, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147415, 1136, 2287, 3326, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147456, 1086, 2305, 3241, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147496, 1160, 2304, 3268, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147537, 1169, 2232, 3222, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147577, 1220, 2310, 3293, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147618, 1228, 2259, 3182, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147656, 1219, 2332, 3216, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147695, 1215, 2326, 3222, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147734, 1202, 2279, 3209, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147773, 1204, 2307, 3227, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147812, 1255, 2302, 3225, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147850, 1229, 2272, 3187, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
147889, 1165, 2336, 3164, 86, 08350568-d563-49b9-b9db-263f600f2381, , duduk, duduk_antara_dua_sujud, , 
