137714, 130, 2471, 3341, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
137752, 11, 2355, 3361, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
137790, -208, 2131, 3371, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
137827, -327, 1501, 3455, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
137864, 521, 2337, 3857, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
137901, 515, 1944, 3665, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
137938, 680, 1823, 3634, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
137976, 756, 2072, 3661, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138013, 866, 2007, 3654, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138050, 945, 1995, 3504, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138087, 984, 1841, 3319, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138124, 1140, 1856, 3516, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138162, 1257, 1894, 3313, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138201, 1281, 2000, 3370, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138241, 1552, 1938, 3659, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138280, 1477, 1986, 3341, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138320, 1241, 1911, 3383, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138359, 1083, 1909, 3621, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138399, 1085, 2082, 3412, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138438, 1098, 1996, 3456, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
