66702, 2403, 1811, 2894, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
66739, 2337, 1730, 2895, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
66777, 2389, 1781, 2918, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
66814, 2418, 1816, 2942, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
66852, 2390, 1786, 2902, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
66889, 2396, 1825, 2932, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
66926, 2374, 1777, 2892, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
66964, 2387, 1834, 2888, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
67001, 2355, 1800, 2889, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
67039, 2365, 1808, 2865, 96, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
67078, 2392, 1844, 2897, 97, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
67118, 2371, 1782, 2870, 97, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
67158, 2311, 1820, 2807, 97, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
67198, 2351, 1862, 2871, 97, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
67238, 2358, 1884, 2881, 97, 3b19ea67-0fe6-4124-9c55-c832a44fddfd, , duduk, duduk_antara_dua_sujud, , 
