187822, 3169, 1377, 2395, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
187865, 3247, 1321, 2449, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
187907, 3203, 1310, 2452, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
187949, 3157, 1351, 2450, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
187992, 3167, 1388, 2415, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188025, 3015, 1408, 2335, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188059, 2827, 1322, 2556, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188093, 2831, 1424, 2546, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188126, 2790, 1530, 2629, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188160, 2832, 1553, 2587, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188194, 2748, 1480, 2524, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188228, 2733, 1480, 2662, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188261, 2875, 1626, 2598, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188295, 2676, 1865, 2347, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188329, 2781, 1641, 2707, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188363, 2643, 1821, 2701, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188403, 2468, 1654, 2872, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188444, 2334, 1578, 3171, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188485, 2129, 1601, 3047, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188525, 2170, 1646, 3380, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188566, 1992, 1677, 3293, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188607, 2473, 2061, 2593, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188647, 2733, 1876, 2435, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188688, 2940, 1866, 2455, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188729, 2798, 1548, 2259, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188770, 3231, 1865, 2472, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188808, 3096, 1577, 2120, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188846, 3434, 1771, 2254, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188885, 3340, 1499, 1944, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188923, 3324, 1497, 1822, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
188962, 3378, 1577, 1861, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189000, 3288, 1475, 1819, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189039, 3474, 1532, 1894, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189077, 3478, 1453, 1954, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189116, 3433, 1567, 1875, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189154, 3358, 1496, 1908, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189193, 3377, 1502, 1931, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189231, 3363, 1392, 1825, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189270, 3437, 1316, 1818, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189308, 3097, 1147, 1769, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
