131925, 2097, 2907, 2044, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
131958, 2124, 2905, 2079, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
131991, 2112, 2904, 2061, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132024, 2080, 2923, 2070, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132065, 2089, 2898, 2061, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132106, 2083, 2919, 2062, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132147, 2082, 2937, 2046, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132189, 2095, 2926, 2007, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132230, 2091, 2930, 2087, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132271, 2100, 2943, 2056, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132313, 2094, 2897, 2021, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132354, 2083, 2935, 2013, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132395, 2071, 2957, 2030, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132437, 2051, 2987, 2036, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132473, 2085, 2947, 2013, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132510, 2078, 2963, 2035, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132546, 2052, 2974, 2019, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132583, 2063, 2971, 2013, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132620, 2077, 2969, 1999, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132656, 2067, 2984, 2005, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132693, 2051, 2975, 2006, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132730, 2044, 2998, 1991, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132766, 2047, 3008, 1998, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132803, 2045, 2978, 2002, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132840, 2031, 2992, 1989, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132882, 2038, 3011, 1993, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132924, 2030, 2994, 1970, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
132967, 2058, 3010, 1960, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133009, 2053, 2998, 1987, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133052, 2051, 3062, 2000, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133094, 2010, 2983, 1984, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133136, 2020, 3042, 1983, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133179, 2027, 3024, 1964, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133221, 2034, 3008, 1968, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133264, 2044, 3012, 1957, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133301, 2034, 3022, 1973, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133338, 2028, 2986, 1961, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133375, 2011, 3022, 1950, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133413, 2000, 3040, 1957, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133450, 2030, 3008, 1963, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133487, 2026, 3011, 1984, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133525, 2042, 3034, 1986, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133562, 2018, 3009, 1976, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133599, 2028, 3017, 1987, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133637, 2026, 3021, 1984, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133673, 2036, 3005, 1981, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133710, 2040, 3010, 1959, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133746, 2026, 3036, 1992, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133783, 2021, 3031, 1981, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133820, 2030, 3016, 1967, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133856, 2025, 3016, 1970, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133893, 2011, 3009, 1986, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133930, 2028, 3018, 1993, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
133966, 2013, 3008, 1991, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134003, 2049, 3011, 1967, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134040, 2056, 3035, 2005, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134085, 2023, 3016, 1963, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134130, 2043, 3006, 1984, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134175, 2054, 3016, 1961, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134220, 2030, 3022, 1972, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
