143018, 2643, 1176, 3052, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143064, 2632, 1223, 3006, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143109, 2669, 1184, 3049, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143154, 2623, 1006, 3051, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143200, 2584, 1088, 2995, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143245, 2616, 1263, 3036, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143290, 2655, 1151, 2995, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143336, 2676, 1008, 3004, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143368, 2692, 866, 2993, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143400, 2699, 1062, 2967, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143433, 2694, 1017, 2972, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143465, 2712, 1026, 3034, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143497, 2714, 1127, 2971, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143530, 2709, 1094, 3003, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143562, 2643, 1068, 2957, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143594, 2654, 1108, 3004, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143627, 2677, 1135, 2967, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143659, 2650, 1122, 2982, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143692, 2654, 1129, 3006, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143731, 2651, 1123, 2986, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143771, 2738, 831, 3093, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143811, 2622, 1263, 2922, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143850, 2625, 1228, 2932, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143890, 2645, 1239, 3021, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143930, 2686, 1164, 2993, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
