302554, 1600, 3083, 2388, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302592, 1542, 3004, 2417, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302630, 1566, 3058, 2402, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302667, 1585, 2957, 2384, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302705, 1617, 2938, 2370, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302742, 1547, 2976, 2404, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302780, 1547, 2990, 2431, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302818, 1547, 3000, 2425, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302855, 1567, 2965, 2406, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302893, 1617, 2968, 2416, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302931, 1577, 2908, 2352, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
302969, 1557, 2972, 2406, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303007, 1605, 2946, 2406, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303046, 1610, 2929, 2408, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303084, 1621, 2909, 2429, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303122, 1672, 2974, 2388, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303161, 1694, 2907, 2372, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303199, 1709, 2965, 2349, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303238, 1755, 2953, 2382, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303276, 1736, 2939, 2344, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303314, 1749, 3001, 2365, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303353, 1722, 2903, 2382, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303391, 1766, 2966, 2353, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303430, 1734, 2913, 2351, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303472, 1735, 2931, 2352, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303514, 1720, 2931, 2346, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303557, 1765, 3015, 2332, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303599, 1731, 2901, 2338, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303641, 1759, 2977, 2325, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303684, 1772, 2973, 2332, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303726, 1752, 2929, 2330, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303769, 1699, 2931, 2319, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303811, 1761, 3005, 2408, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303853, 1743, 2900, 2280, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303896, 1856, 2985, 2367, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303938, 1838, 2903, 2317, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
303981, 1799, 2811, 2311, 97, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304015, 1774, 2957, 2371, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304050, 1747, 2987, 2319, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304084, 1743, 2888, 2325, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304119, 1809, 2941, 2358, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304154, 1806, 2972, 2379, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304188, 1749, 2812, 2370, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
