148917, 1449, 2589, 2902, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
148955, 1429, 2537, 2914, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
148993, 1396, 2567, 2957, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149031, 1285, 2677, 2865, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149069, 1234, 2719, 3043, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149107, 1153, 2654, 3040, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149145, 1306, 2773, 2918, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149183, 1344, 2776, 2852, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149220, 1485, 2698, 2753, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149258, 1355, 2428, 2640, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149296, 1209, 2507, 2991, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149334, 876, 2541, 2956, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149372, 589, 2708, 2984, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149409, 280, 2721, 3024, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149447, 92, 2847, 3060, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149485, -8, 2864, 3128, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149523, 53, 2910, 3078, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149561, 719, 2815, 2847, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149599, 900, 2626, 2844, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149635, 999, 2657, 2956, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149672, 979, 3071, 2948, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149709, 914, 2992, 2860, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149746, 821, 2841, 2778, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149783, 774, 2923, 2715, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149819, 928, 3179, 2803, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149856, 941, 3046, 2763, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149893, 897, 2852, 2739, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149930, 923, 2789, 2891, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
149967, 972, 2912, 2901, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150008, 962, 2748, 2932, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150050, 943, 2766, 2870, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150091, 950, 2801, 2898, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150133, 1000, 2789, 2899, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150175, 1067, 2831, 2815, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150216, 1178, 2861, 2800, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150258, 1218, 2817, 2798, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150300, 1261, 2852, 2731, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150341, 1289, 2891, 2781, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150383, 1262, 2773, 2765, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150425, 1047, 2729, 2903, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
