466700, 873, 2047, 3495, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
466733, 948, 2014, 3520, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
466765, 981, 2000, 3476, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
466798, 998, 2007, 3495, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
466831, 978, 2041, 3465, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
466864, 963, 2061, 3453, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
466897, 972, 2055, 3431, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
466930, 981, 2080, 3463, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
466969, 971, 2061, 3470, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467008, 959, 2033, 3468, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467047, 972, 2072, 3455, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467087, 982, 2113, 3476, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467126, 944, 2058, 3438, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467165, 957, 2081, 3456, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467205, 972, 2122, 3454, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467244, 977, 2082, 3448, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467283, 954, 2086, 3437, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467323, 960, 2132, 3449, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467361, 955, 2094, 3428, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467400, 928, 2135, 3445, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467438, 926, 2101, 3435, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467477, 964, 2081, 3457, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467515, 952, 2144, 3444, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467554, 954, 2114, 3448, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467592, 945, 2118, 3432, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
