353039, 1764, 1366, 3578, 89, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353078, 1677, 1328, 3515, 89, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353117, 1715, 1313, 3580, 89, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353155, 1754, 1304, 3552, 89, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353194, 1786, 1196, 3574, 89, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353233, 1734, 1265, 3564, 89, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353272, 1714, 1275, 3541, 89, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353312, 1731, 1300, 3555, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353352, 1701, 1304, 3517, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353392, 1720, 1281, 3535, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353432, 1747, 1301, 3558, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353473, 1728, 1317, 3538, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353513, 1713, 1268, 3553, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353553, 1724, 1300, 3549, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353593, 1698, 1303, 3552, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353633, 1726, 1306, 3532, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353674, 1730, 1319, 3561, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353707, 1714, 1315, 3528, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353740, 1712, 1287, 3555, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353774, 1694, 1289, 3566, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353807, 1697, 1313, 3557, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353840, 1714, 1285, 3565, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353874, 1717, 1288, 3542, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353907, 1712, 1282, 3550, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353940, 1712, 1282, 3546, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
353974, 1719, 1294, 3560, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354007, 1704, 1292, 3559, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354041, 1706, 1274, 3560, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354087, 1715, 1284, 3561, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354133, 1710, 1320, 3532, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354179, 1712, 1275, 3566, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354225, 1728, 1293, 3549, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354271, 1714, 1269, 3549, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354317, 1718, 1289, 3563, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354363, 1715, 1306, 3558, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354409, 1723, 1273, 3554, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354455, 1729, 1271, 3553, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354501, 1696, 1306, 3579, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354531, 1718, 1269, 3569, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354561, 1733, 1321, 3542, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354592, 1724, 1313, 3546, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354622, 1737, 1308, 3531, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354653, 1709, 1315, 3561, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354683, 1701, 1299, 3556, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354714, 1706, 1315, 3543, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354744, 1708, 1312, 3565, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354775, 1715, 1335, 3542, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354805, 1696, 1306, 3573, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354836, 1727, 1331, 3553, 86, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354877, 1677, 1336, 3561, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354919, 1694, 1347, 3539, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
354960, 1679, 1313, 3559, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355002, 1693, 1340, 3556, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355043, 1710, 1325, 3539, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355085, 1702, 1348, 3550, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355126, 1700, 1318, 3545, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
