226968, 3070, 275, 2887, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227010, 3001, 577, 2586, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227053, 3248, 772, 2380, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227096, 3496, 789, 2376, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227138, 3164, 275, 2699, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227181, 2925, 398, 2801, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227224, 2954, 605, 2594, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227266, 3275, 744, 2397, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227309, 3258, 248, 2528, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227352, 3314, 168, 2840, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227386, 3373, 433, 2241, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227420, 3514, 416, 2210, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227454, 3472, 515, 2358, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227488, 3558, 328, 2379, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227522, 3545, 286, 2362, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227556, 3315, 700, 2245, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227590, 3448, 356, 2314, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227624, 3313, 663, 2286, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227658, 3396, 516, 2326, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227692, 2240, 710, 2154, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227731, 3365, 424, 2169, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227770, 3423, 495, 2522, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227809, 3195, 670, 2434, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227848, 3269, 540, 2384, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227887, 3472, 551, 2268, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227926, 3434, 643, 2346, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
227965, 3485, 612, 2185, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228004, 3714, 413, 2027, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228043, 3879, 332, 1911, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228082, 3835, 510, 1901, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228120, 3743, 340, 1892, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228158, 3756, 366, 1978, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228196, 3674, 313, 1908, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228235, 3669, 641, 2071, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228273, 3667, 382, 2151, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228311, 3526, 380, 2247, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228349, 3494, 164, 2298, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228388, 3421, 186, 2428, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228426, 3414, 216, 2420, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228464, 3252, 437, 2455, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228503, 3126, 317, 2606, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228540, 3101, 423, 2536, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228578, 3184, 507, 2477, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228615, 3259, 316, 2589, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228653, 3310, 212, 2597, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228690, 3318, 258, 2559, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228728, 3357, 322, 2638, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228765, 3510, 46, 2298, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228803, 3286, 177, 2655, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228840, 3254, 264, 2608, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228878, 3117, 228, 2729, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228924, 3054, 279, 2655, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
228970, 3058, 399, 2760, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229017, 3073, 329, 2732, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229063, 3089, 372, 2789, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229110, 3048, 328, 2843, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229156, 3082, 269, 2779, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229202, 3028, 382, 2841, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229249, 3058, 342, 2810, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229295, 3027, 335, 2831, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
