87154, 1391, 2781, 2960, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87196, 1553, 2675, 3125, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87238, 1454, 2532, 3149, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87280, 1294, 2270, 2984, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87322, 1455, 2379, 2889, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87364, 1565, 2470, 2984, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87406, 1717, 2477, 3001, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87448, 1664, 2371, 2939, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87490, 1466, 2405, 2804, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87532, 1538, 2432, 2983, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87575, 1651, 2457, 3038, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87609, 1668, 2439, 2970, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87643, 1690, 2397, 2902, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87677, 1771, 2439, 2885, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87711, 1757, 2530, 2837, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87745, 1473, 2404, 3069, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87780, 1399, 2562, 3011, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87814, 1297, 2655, 2860, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87848, 1281, 2677, 2914, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87882, 1240, 2637, 2964, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87916, 1207, 2642, 2930, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87951, 1224, 2647, 2955, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
87993, 1247, 2659, 2962, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88035, 1263, 2659, 2906, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88077, 1275, 2623, 2927, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88119, 1291, 2638, 2920, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88161, 1295, 2618, 2918, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88203, 1318, 2632, 2923, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88245, 1308, 2661, 2870, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88287, 1263, 2704, 2889, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88329, 1167, 2713, 2863, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88371, 1167, 2751, 2890, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88405, 1137, 2769, 2865, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88440, 1158, 2802, 2804, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88475, 1188, 2775, 2845, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88510, 1225, 2745, 2838, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88545, 1207, 2766, 2812, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88580, 1221, 2766, 2833, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88615, 1204, 2756, 2842, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88650, 1204, 2786, 2860, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88685, 1193, 2772, 2820, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88720, 1190, 2767, 2853, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88755, 1181, 2756, 2822, 66, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88794, 1203, 2766, 2819, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88834, 1205, 2757, 2831, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88873, 1224, 2847, 2812, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88913, 1157, 2823, 2763, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88953, 1165, 2810, 2821, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
88992, 1127, 2820, 2809, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89032, 1167, 2811, 2826, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89071, 1171, 2794, 2779, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89111, 1185, 2861, 2785, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89151, 1165, 2857, 2750, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89191, 1154, 2844, 2759, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89231, 1133, 2867, 2801, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89271, 1146, 2836, 2753, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89311, 1120, 2824, 2756, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89352, 1087, 2898, 2803, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89392, 1093, 2907, 2780, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89432, 1092, 2742, 2767, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
89472, 1086, 2875, 2786, 67, a21d2bba-a4b5-4b95-aa94-f65cd3f23183, , duduk, duduk_antara_dua_sujud, , 
