201804, 2743, 2053, 2395, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
201839, 2682, 1968, 2485, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
201874, 2586, 2011, 2476, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
201909, 2623, 2140, 2402, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
201944, 2608, 2201, 2383, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
201979, 2657, 2232, 2356, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202020, 2656, 2179, 2309, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202062, 2687, 2167, 2342, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202104, 2738, 2152, 2282, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202146, 2708, 2190, 2300, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202188, 2738, 2096, 2323, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202230, 2734, 2128, 2287, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202272, 2700, 2181, 2297, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202314, 2638, 2227, 2302, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202356, 2658, 2174, 2318, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202398, 2668, 2197, 2300, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202438, 2570, 2199, 2380, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202479, 2464, 2363, 2312, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202519, 2572, 2275, 2291, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
