86634, 2293, 2159, 2667, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
86673, 2227, 2211, 2727, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
86713, 2277, 2094, 2840, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
86753, 2235, 2012, 2857, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
86793, 2208, 2124, 2857, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
86833, 2176, 2036, 2812, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
86873, 2209, 2140, 2879, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
86913, 2185, 1981, 2787, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
86954, 2247, 2159, 2879, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
86994, 2233, 2188, 2823, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87034, 2165, 2035, 2859, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87074, 2141, 2091, 2856, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87114, 2156, 2225, 2877, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87155, 2086, 2105, 2811, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87195, 2062, 2238, 2855, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
