164715, 2130, 2117, 3479, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
164756, 2121, 1918, 2932, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
164797, 2187, 1897, 2800, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
164838, 2212, 1867, 2895, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
164879, 2220, 1900, 3035, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
164920, 2144, 1797, 3175, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
164961, 2118, 1900, 3090, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165002, 1946, 1841, 2853, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165043, 1941, 1970, 2850, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165084, 1954, 1975, 3074, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165125, 1984, 2155, 3076, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165167, 1871, 2135, 2952, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165202, 1802, 2211, 2939, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165237, 1754, 2104, 3233, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165272, 1575, 2081, 2948, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165308, 1334, 1866, 3171, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165343, 1206, 1851, 3688, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165378, 1079, 1861, 3823, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165414, 928, 1827, 3610, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165449, 1258, 2264, 3081, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165484, 1600, 2178, 3093, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
