71082, 416, 1613, 3570, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71126, 512, 1608, 3843, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71170, 305, 1884, 4308, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71214, 272, 1929, 4071, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71259, 801, 2231, 3514, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71294, 1261, 2123, 3316, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71330, 1580, 1933, 3338, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71365, 1560, 1954, 3265, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71401, 1394, 2052, 3298, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71436, 1223, 2043, 3268, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71472, 1227, 2052, 3278, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71507, 1316, 1836, 3311, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71543, 1347, 1681, 3293, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71578, 1333, 1584, 3326, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71614, 1409, 1678, 3331, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71653, 1396, 1917, 3283, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71692, 1348, 1812, 3322, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71732, 1677, 2510, 3594, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71771, 1886, 2709, 3816, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71810, 1282, 1683, 3314, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71850, 1283, 1715, 3232, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71889, 1660, 1847, 3448, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71928, 1594, 1736, 3457, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
71968, 1707, 1680, 3127, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72007, 1702, 1842, 3056, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72047, 2189, 1898, 3201, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72082, 2352, 1771, 2988, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72118, 2500, 1726, 2948, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72154, 2602, 1620, 2853, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72190, 2669, 1641, 2902, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72226, 2315, 1462, 3112, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72262, 2038, 1555, 3282, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72298, 1747, 1859, 3268, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72334, 1537, 2141, 3288, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72370, 1515, 2110, 3241, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72406, 1547, 2028, 3234, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72449, 1529, 2067, 3223, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72492, 1588, 1998, 3355, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72535, 1623, 2025, 3294, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72578, 1586, 2076, 3138, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72621, 1610, 2113, 3212, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72664, 1536, 2108, 3203, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72707, 1527, 2154, 3249, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72750, 1517, 2118, 3204, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72793, 1541, 2085, 3216, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72836, 1547, 2106, 3212, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72869, 1571, 2092, 3239, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72902, 1538, 2089, 3231, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72936, 1528, 2111, 3208, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
72969, 1544, 2153, 3195, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73002, 1539, 2109, 3192, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73036, 1526, 2173, 3196, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73069, 1512, 2191, 3172, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73102, 1498, 2192, 3183, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73136, 1473, 2203, 3181, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73169, 1482, 2195, 3202, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73203, 1471, 2195, 3162, 63, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73247, 1495, 2233, 3166, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73291, 1470, 2175, 3202, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73335, 1495, 2222, 3171, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73380, 1442, 2227, 3155, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73424, 1466, 2216, 3189, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73468, 1424, 2229, 3206, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73513, 1392, 2188, 3158, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73557, 1431, 2259, 3188, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73601, 1424, 2242, 3161, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73646, 1432, 2275, 3174, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73678, 1460, 2230, 3170, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73711, 1436, 2245, 3189, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73744, 1443, 2238, 3213, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73777, 1491, 2231, 3195, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73810, 1452, 2283, 3157, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73842, 1479, 2287, 3208, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73875, 1567, 2254, 3128, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73908, 1557, 2253, 3152, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73941, 1545, 2209, 3164, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
73974, 1608, 2184, 3070, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
74007, 1531, 2286, 3082, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
74048, 1564, 2187, 3077, 64, da7f63b8-c526-4525-a9aa-a1008da4c311, , duduk, duduk_antara_dua_sujud, , 
