226117, 1728, 2531, 2667, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226154, 1630, 2564, 2862, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226190, 1538, 2442, 2945, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226227, 1403, 2563, 2984, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226264, 1441, 2614, 2930, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226301, 1393, 2548, 2768, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226338, 1276, 2469, 2896, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226375, 1366, 2526, 3005, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226412, 1288, 2490, 2715, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226449, 1245, 2414, 2910, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226486, 1019, 2421, 3097, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226523, 732, 2433, 3074, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226561, 627, 2507, 3309, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226598, 479, 2555, 3290, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226635, 364, 2561, 3269, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226672, 346, 2600, 3327, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226709, 596, 2664, 3192, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226747, 1015, 2654, 2789, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226789, 1136, 2674, 2992, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226831, 1307, 2709, 3217, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226873, 1274, 2720, 3070, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226915, 1285, 2618, 2809, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226957, 1426, 2467, 2937, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
