39929, 2635, 1406, 2973, 104, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
39969, 2639, 1347, 2811, 104, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40010, 2637, 1511, 2943, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40052, 2630, 1435, 2895, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40094, 2620, 1403, 2895, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40136, 2634, 1423, 2918, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40178, 2588, 1400, 2919, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40220, 2572, 1443, 2908, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40262, 2600, 1527, 2917, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40304, 2576, 1417, 2877, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40346, 2605, 1416, 2931, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40388, 2590, 1400, 2869, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40430, 2611, 1433, 2916, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40472, 2622, 1447, 2905, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40514, 2596, 1423, 2881, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40556, 2577, 1451, 2914, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40598, 2603, 1478, 2885, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40641, 2599, 1452, 2934, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40683, 2592, 1442, 2904, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40725, 2590, 1443, 2877, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40767, 2584, 1466, 2905, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40809, 2596, 1478, 2886, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40852, 2595, 1460, 2892, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40885, 2581, 1466, 2901, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40918, 2596, 1516, 2931, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40952, 2572, 1446, 2887, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
40985, 2598, 1485, 2907, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41019, 2621, 1511, 2894, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41052, 2601, 1448, 2889, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41085, 2609, 1500, 2921, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41119, 2616, 1462, 2891, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41152, 2591, 1526, 2901, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41186, 2564, 1511, 2877, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41222, 2587, 1464, 2899, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41259, 2596, 1497, 2905, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41295, 2578, 1502, 2839, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41332, 2601, 1494, 2912, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41368, 2589, 1465, 2874, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41405, 2601, 1480, 2897, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41441, 2577, 1504, 2912, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41478, 2579, 1519, 2887, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41514, 2587, 1465, 2869, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41551, 2575, 1523, 2886, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41588, 2592, 1467, 2874, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41628, 2571, 1495, 2884, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41668, 2577, 1540, 2879, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41709, 2571, 1485, 2891, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41749, 2594, 1513, 2888, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41790, 2563, 1509, 2893, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41830, 2574, 1482, 2880, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41870, 2592, 1506, 2891, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41911, 2576, 1498, 2899, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41951, 2595, 1481, 2895, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
41992, 2593, 1503, 2903, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42031, 2575, 1486, 2877, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42071, 2583, 1539, 2895, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42110, 2608, 1465, 2896, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42150, 2580, 1505, 2897, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42190, 2621, 1499, 2885, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42229, 2592, 1524, 2902, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42269, 2557, 1509, 2869, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42308, 2580, 1481, 2892, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42348, 2591, 1508, 2892, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42388, 2579, 1505, 2905, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42430, 2594, 1523, 2868, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
