94323, 3247, 1058, 2476, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94361, 3159, 1158, 2447, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94399, 3143, 1239, 2434, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94437, 3130, 1307, 2462, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94475, 3036, 1159, 2454, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94514, 3106, 1267, 2436, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94552, 3074, 1305, 2471, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94590, 3116, 1206, 2471, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94628, 3154, 1307, 2515, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94666, 3186, 1188, 2476, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94705, 3021, 1177, 2422, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94747, 3135, 1290, 2440, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94789, 3126, 1495, 2410, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94831, 3037, 1367, 2441, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94873, 3082, 1228, 2487, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94915, 3191, 1200, 2391, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94957, 3211, 1125, 2433, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
94999, 3174, 1159, 2447, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
