537627, 968, 2195, 3435, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537667, 981, 2146, 3387, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537707, 1004, 2131, 3431, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537743, 1003, 2115, 3401, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537779, 1001, 2156, 3392, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537815, 986, 2147, 3417, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537851, 1002, 2146, 3419, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537887, 972, 2186, 3350, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537923, 956, 2237, 3353, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537959, 942, 2176, 3360, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
537995, 947, 2215, 3363, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538031, 952, 2198, 3377, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538067, 951, 2231, 3372, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538103, 985, 2193, 3366, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538141, 976, 2194, 3370, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538180, 971, 2237, 3378, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538219, 951, 2213, 3344, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538257, 941, 2244, 3350, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538296, 954, 2229, 3335, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538335, 960, 2249, 3369, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538373, 948, 2251, 3355, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
