368623, 1782, 1490, 3430, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
368660, 1756, 1534, 3432, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
368697, 1731, 1586, 3398, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
368734, 1731, 1598, 3424, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
368771, 1691, 1564, 3488, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
368809, 1714, 1608, 3430, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
368847, 1752, 1651, 3379, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
368886, 1742, 1501, 3442, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
368924, 1750, 1531, 3421, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
368963, 1763, 1592, 3407, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369001, 1760, 1546, 3428, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369040, 1756, 1533, 3430, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369078, 1786, 1520, 3411, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369117, 1789, 1500, 3430, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369155, 1760, 1510, 3451, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369194, 1764, 1507, 3442, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369233, 1744, 1569, 3446, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369271, 1716, 1574, 3447, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369310, 1767, 1505, 3442, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369348, 1725, 1501, 3449, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369387, 1773, 1509, 3464, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369426, 1763, 1506, 3438, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369464, 1748, 1508, 3450, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369503, 1737, 1544, 3460, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369541, 1749, 1527, 3450, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369580, 1755, 1512, 3446, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369619, 1765, 1530, 3450, 81, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369657, 1752, 1524, 3430, 79, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369696, 1741, 1546, 3451, 79, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
369735, 1732, 1546, 3469, 79, 6cd6feca-bc61-4b0c-94d8-7ccd3110da60, , duduk, duduk_tasyahud_akhir, , 
