159197, 1480, 2159, 3225, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159233, 1474, 2160, 3237, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159269, 1386, 2138, 3223, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159306, 1353, 2163, 3241, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159342, 1304, 2184, 3252, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159378, 1325, 2167, 3263, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159415, 1287, 2238, 3232, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159451, 1302, 2230, 3221, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159487, 1352, 2218, 3224, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159524, 1382, 2232, 3193, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159560, 1364, 2219, 3201, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159597, 1355, 2284, 3229, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159638, 1287, 2279, 3199, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159679, 1319, 2246, 3217, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159720, 1309, 2250, 3231, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159761, 1339, 2262, 3219, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159802, 1334, 2276, 3210, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159843, 1314, 2286, 3216, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159884, 1319, 2279, 3203, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159925, 1304, 2286, 3188, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
159966, 1306, 2294, 3183, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160008, 1326, 2275, 3190, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160054, 1302, 2280, 3199, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160100, 1300, 2287, 3195, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160146, 1275, 2301, 3208, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160193, 1314, 2248, 3197, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160239, 1294, 2265, 3192, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160285, 1260, 2304, 3187, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160332, 1277, 2341, 3173, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160378, 1262, 2328, 3155, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
