317081, 1491, 3067, 2283, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317121, 1489, 3072, 2311, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317160, 1522, 3059, 2305, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317199, 1523, 3066, 2299, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317238, 1530, 3048, 2320, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317278, 1560, 3034, 2296, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317317, 1599, 3061, 2310, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317356, 1577, 3050, 2296, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317395, 1576, 3056, 2337, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317435, 1566, 3077, 2318, 95, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317473, 1516, 3083, 2299, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317511, 1517, 3065, 2309, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317549, 1551, 3066, 2278, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317587, 1548, 3074, 2306, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317625, 1517, 3096, 2277, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317663, 1506, 3092, 2307, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317702, 1531, 3071, 2290, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317740, 1501, 3062, 2296, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317778, 1508, 3069, 2304, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317816, 1512, 3086, 2302, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317854, 1491, 3111, 2330, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317892, 1448, 3119, 2279, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317931, 1522, 3085, 2286, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
317970, 1531, 3100, 2276, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318009, 1517, 3074, 2290, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318049, 1482, 3139, 2276, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318088, 1461, 3116, 2265, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318128, 1449, 3152, 2277, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318167, 1475, 3118, 2272, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318207, 1501, 3091, 2268, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318246, 1538, 3143, 2286, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318286, 1468, 3122, 2278, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318325, 1497, 3084, 2272, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318365, 1489, 3129, 2253, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318404, 1466, 3142, 2269, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318444, 1454, 3144, 2281, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318480, 1508, 3108, 2265, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318516, 1483, 3116, 2279, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318552, 1480, 3111, 2244, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318588, 1467, 3131, 2268, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318625, 1504, 3123, 2259, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318661, 1498, 3094, 2261, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318697, 1451, 3105, 2275, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318733, 1459, 3142, 2273, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318770, 1444, 3144, 2265, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318806, 1444, 3121, 2273, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318842, 1485, 3105, 2262, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318878, 1473, 3127, 2251, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318915, 1477, 3108, 2278, 93, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
318958, 1464, 3141, 2264, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319001, 1473, 3130, 2270, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319044, 1477, 3123, 2253, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319088, 1469, 3148, 2269, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319131, 1476, 3123, 2270, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319174, 1450, 3125, 2281, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319218, 1403, 3152, 2248, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319261, 1461, 3150, 2248, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319304, 1486, 3133, 2258, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319348, 1479, 3128, 2255, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319391, 1448, 3134, 2272, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319434, 1434, 3154, 2272, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319478, 1459, 3128, 2262, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319512, 1451, 3128, 2227, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319546, 1433, 3147, 2272, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319581, 1442, 3171, 2236, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319615, 1422, 3144, 2254, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319649, 1432, 3121, 2260, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319684, 1461, 3144, 2235, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319718, 1447, 3160, 2254, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319753, 1454, 3119, 2248, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319787, 1447, 3143, 2258, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319821, 1403, 3177, 2242, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319856, 1423, 3171, 2250, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319890, 1464, 3155, 2226, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319925, 1505, 3150, 2240, 92, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
319964, 1451, 3112, 2258, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320004, 1432, 3180, 2252, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320044, 1418, 3183, 2238, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320084, 1430, 3160, 2236, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320124, 1444, 3142, 2249, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320164, 1450, 3176, 2240, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320203, 1449, 3159, 2236, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320243, 1462, 3128, 2271, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320283, 1461, 3137, 2229, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320323, 1435, 3198, 2215, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320363, 1442, 3202, 2229, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320403, 1446, 3149, 2284, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320443, 1409, 3161, 2260, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320481, 1406, 3203, 2228, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320520, 1465, 3151, 2199, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320559, 1472, 3167, 2214, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320598, 1469, 3129, 2256, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320637, 1453, 3164, 2247, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320676, 1459, 3176, 2276, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320714, 1406, 3159, 2245, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320753, 1450, 3166, 2255, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320792, 1471, 3126, 2248, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320831, 1443, 3146, 2258, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320870, 1457, 3128, 2250, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
320909, 1437, 3111, 2234, 91, 87f543bb-f7b1-4940-8dc1-8dc10d94cec1, , duduk, duduk_tasyahud_akhir, , 
