122985, 2399, 1875, 2774, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123027, 2309, 2139, 2792, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123069, 2269, 1822, 2886, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123104, 2173, 1917, 2851, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123140, 2119, 1945, 2984, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123175, 2042, 2004, 2923, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123211, 2095, 2162, 2994, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123246, 2022, 2295, 2861, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123282, 1825, 2146, 2898, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123317, 1644, 2109, 3175, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123353, 1493, 1839, 3415, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123388, 1295, 2030, 3240, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123424, 1190, 2119, 3263, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123460, 1226, 2105, 3366, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123500, 1332, 2208, 3339, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123541, 1651, 2149, 2969, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123582, 1808, 2032, 2858, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123623, 1845, 1971, 2848, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123664, 2054, 2172, 3081, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123704, 2204, 2277, 3199, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123745, 2193, 2059, 3040, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123786, 2192, 1709, 2793, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123827, 2314, 1943, 2778, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123868, 2543, 2015, 2935, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123904, 2477, 1774, 2687, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123940, 2578, 1845, 2759, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
123977, 2618, 1796, 2753, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
