137690, 2929, 1888, 2231, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
137730, 3000, 1817, 2220, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
137770, 2969, 1930, 2237, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
137810, 2849, 1895, 2267, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
137850, 2871, 2002, 2260, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
137890, 2871, 1951, 2235, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
137930, 2862, 1963, 2253, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
137970, 2881, 1976, 2232, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138010, 2965, 1975, 2383, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138051, 2873, 1975, 2242, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138093, 2891, 2001, 2268, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138135, 2904, 2019, 2190, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138177, 2903, 1978, 2228, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138219, 2870, 2028, 2235, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138261, 2877, 2026, 2222, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138303, 2819, 2077, 2214, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138345, 2810, 2082, 2197, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138387, 2798, 2089, 2245, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138429, 2862, 2052, 2210, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138463, 2889, 2044, 2200, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138498, 2825, 2108, 2198, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138532, 2834, 2032, 2206, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138567, 2873, 2034, 2211, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138602, 2873, 2074, 2218, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138636, 2837, 2071, 2200, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138671, 2851, 1978, 2201, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138706, 2866, 2049, 2238, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138740, 2856, 2096, 2200, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138775, 2871, 2028, 2202, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138810, 2850, 2047, 2225, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138850, 2868, 2031, 2229, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138890, 2866, 1998, 2232, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138930, 2851, 1993, 2209, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
138970, 2857, 2056, 2211, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139011, 2840, 2069, 2210, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139051, 2853, 2057, 2194, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139091, 2875, 2018, 2215, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139131, 2879, 2016, 2226, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139171, 2869, 2056, 2233, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139212, 2883, 2002, 2201, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139246, 2889, 2011, 2201, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139281, 2912, 2030, 2201, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139316, 2852, 1999, 2202, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139350, 2857, 2071, 2215, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139385, 2860, 2040, 2188, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139420, 2870, 2072, 2189, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139455, 2872, 2059, 2190, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139489, 2865, 2022, 2196, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139524, 2852, 2014, 2168, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139559, 2850, 2044, 2197, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139594, 2866, 2074, 2162, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139633, 2873, 2042, 2209, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139673, 2854, 2057, 2164, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139712, 2860, 2036, 2156, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139752, 2899, 2063, 2175, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139792, 2861, 2060, 2204, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139831, 2864, 2049, 2141, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139871, 2899, 2004, 2180, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139910, 2914, 2017, 2158, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139950, 2862, 2012, 2208, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
139990, 2913, 2028, 2144, 96, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140034, 2925, 2041, 2104, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140078, 2862, 2112, 2146, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140123, 2855, 2144, 2145, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140167, 2845, 2102, 2167, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
