211167, 3765, 932, -141, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211207, 3815, 1305, -25, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211248, 4011, 977, 73, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211289, 4106, 1197, 449, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211329, 4188, 1022, 630, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211370, 4171, 1175, 642, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211411, 4072, 942, 535, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211452, 4019, 878, 324, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211488, 3985, 918, 210, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211525, 4023, 882, 90, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211561, 4007, 1045, 29, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211598, 3992, 1104, -55, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211634, 3991, 938, 78, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211671, 3972, 876, 72, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211707, 3997, 949, 97, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211744, 4050, 944, 167, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211780, 4013, 872, 226, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211817, 3976, 1032, 409, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211854, 4027, 1146, 442, 104, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211899, 4039, 1050, 435, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211944, 4013, 976, 415, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
211989, 4024, 1376, 348, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
212034, 4023, 1448, 311, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
212080, 3984, 1442, 182, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
212125, 4029, 2328, -155, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
212170, 4117, 1303, 271, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
212215, 4042, 951, 519, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
212260, 3911, 1412, 511, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
212306, 3732, 1399, 399, 105, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
212339, 3653, 1671, 421, 106, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
212372, 3556, 1301, 399, 106, 051da2db-85c6-4daf-b85b-5a35b6810d28, , iktidal, iktidal_tanpa_bersedekap, , 
