76924, 3433, 3658, -1502, 75, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
76964, 3863, 2728, -1592, 75, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77005, 4564, 1894, -1396, 75, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77045, 5192, 1374, -992, 75, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77086, 4996, 868, -1188, 75, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77127, 4033, -619, -1380, 75, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77171, 3655, 591, -2352, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77215, 2623, 348, -1828, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77259, 3113, 605, -2340, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77303, 2916, 772, -2255, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77347, 4732, 2092, -2085, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77391, 3759, 2172, -1291, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77435, 2834, 2795, -2374, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77479, 3183, 1922, -860, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77523, 2667, 3732, -1355, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77567, 2769, 3535, -1515, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77597, 2448, 2987, -1403, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77628, 2490, 2208, -1652, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77659, 3139, 1094, -1010, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77690, 3274, 2140, -1220, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77721, 3207, 1578, -1028, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77751, 3004, 1973, -1664, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77782, 3006, 2491, -1625, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77813, 2887, 2618, -1394, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77844, 2671, 2692, -1564, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77875, 2963, 1860, -929, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77906, 3056, 2082, -1016, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77946, 3342, 4, -503, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
77987, 3083, 2095, -2040, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78027, 2843, 282, -2044, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78068, 2784, 257, -3041, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78108, 3199, 2308, -3600, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78149, 2691, 847, -3289, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78189, 2867, 384, -3292, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78230, 2786, 396, -2372, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78270, 3387, 971, -2570, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78311, 3155, 752, -2705, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78351, 3177, 379, -3145, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78392, 2961, 645, -2782, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78433, 2803, 1228, -3039, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78474, 3283, 127, -1272, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78515, 3751, 987, -781, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78555, 3727, 649, -1189, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78596, 3922, 1167, -1364, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78637, 3885, 804, -1518, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78678, 3916, 394, -1693, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78719, 3815, 1103, -1844, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78757, 3904, 1239, -1679, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78796, 3865, 953, -1519, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78834, 3895, 1011, -1233, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78873, 3990, 983, -1162, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78912, 3811, 984, -906, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78950, 3841, 724, -1194, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
78989, 3914, 1152, -985, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79028, 4077, 438, -570, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79066, 4159, 804, -746, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79105, 4167, 1229, -682, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79144, 4146, 493, -303, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79181, 4048, 531, -819, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79218, 4125, -84, -608, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79255, 4025, 560, -1055, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79293, 4080, 604, -636, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79330, 4025, 641, -426, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79367, 4094, 492, -472, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79405, 4061, 97, -720, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79442, 4122, 199, -419, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79479, 4168, 592, -341, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79517, 4120, 525, -156, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79555, 4056, 495, -121, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
