239758, 3848, 464, -762, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
239791, 3815, 480, -908, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
239824, 3947, 831, -885, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
239857, 4008, 1024, -968, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
239890, 3952, 1041, -970, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
239923, 3865, 992, -889, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
239964, 3928, 872, -795, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240005, 3948, 774, -771, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240046, 3922, 783, -864, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240087, 3945, 799, -916, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240128, 3957, 807, -909, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240169, 3911, 840, -887, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240210, 3931, 815, -859, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240251, 4010, 861, -825, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240292, 4004, 880, -790, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240333, 3916, 791, -835, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240370, 3980, 756, -829, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240407, 4013, 818, -832, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240444, 3986, 799, -810, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240482, 3985, 783, -801, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240519, 3975, 795, -837, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
