238479, 4037, 768, -295, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238518, 3990, 767, -430, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238557, 4013, 739, -440, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238596, 4032, 750, -378, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238636, 4064, 831, -335, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238675, 4073, 829, -299, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238714, 4087, 761, -259, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238753, 4086, 740, -282, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238792, 4066, 741, -310, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238832, 3988, 763, -362, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238868, 4011, 784, -378, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238904, 4079, 789, -375, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238940, 4022, 792, -347, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
238977, 4033, 815, -330, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239013, 4047, 865, -315, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239049, 4026, 835, -335, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239085, 4039, 789, -340, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239122, 4031, 767, -336, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239158, 4033, 745, -330, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239194, 4049, 748, -324, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239231, 4063, 760, -315, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239269, 4047, 768, -310, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239308, 4042, 794, -316, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239347, 4030, 792, -316, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239386, 4045, 808, -336, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239425, 4049, 804, -362, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239463, 4048, 783, -341, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239502, 4024, 774, -308, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239541, 4054, 785, -330, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239580, 4034, 774, -332, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239619, 4059, 784, -345, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239655, 4033, 787, -325, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239691, 4035, 810, -304, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239727, 4005, 797, -312, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239763, 4047, 809, -326, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239799, 4036, 789, -320, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239835, 4061, 769, -316, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239871, 4055, 788, -324, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239907, 4041, 796, -331, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239943, 4036, 794, -342, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
239979, 4066, 797, -353, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240015, 4025, 793, -329, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240055, 4056, 761, -321, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240095, 4016, 760, -325, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240135, 4026, 790, -335, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240176, 4065, 806, -319, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240216, 4043, 788, -349, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240256, 4021, 777, -351, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240297, 4058, 768, -347, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240337, 4085, 816, -338, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240377, 4060, 863, -317, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240418, 4035, 827, -298, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240460, 4038, 805, -341, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240502, 4025, 777, -364, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240544, 4027, 793, -319, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240586, 4036, 805, -327, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240629, 4049, 783, -304, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240671, 3997, 749, -304, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240713, 4017, 737, -337, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240755, 4060, 729, -372, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
