343318, 3922, 919, -775, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343350, 4115, 1055, -589, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343381, 4076, 1011, -466, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343413, 4080, 995, -427, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343444, 3924, 1082, -322, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343476, 4010, 1018, -236, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343507, 4122, -121, -2090, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343539, 3588, 400, -1325, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343570, 3807, -1112, -303, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343602, 3948, -1252, -1218, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343634, 4158, -849, -905, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343674, 4177, -508, -494, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343714, 4545, -341, 378, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343754, 4600, -531, 834, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343795, 4492, -36, 341, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343835, 4708, -47, -124, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343875, 4610, 253, -192, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343916, 4226, -324, -198, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343956, 4041, 771, -1124, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
343996, 4008, 288, -1618, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
344037, 3777, 214, -1674, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
344076, 3663, 471, -1819, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
344115, 3365, 56, -1736, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
344154, 3158, 933, -2131, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
344193, 3531, 54, -1501, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
344233, 3689, -1616, -458, 95, 4bde9800-388d-4b1c-ad10-f3a44294a488, , iktidal, iktidal_tanpa_bersedekap, , 
