92766, 3707, 1914, 652, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
92806, 3703, 1823, 799, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
92842, 3671, 1670, 953, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
92879, 3617, 1670, 1072, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
92915, 3600, 1460, 1174, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
92952, 3564, 1365, 1248, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
92989, 3564, 1478, 1086, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93025, 3562, 1672, 1251, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93062, 3529, 2057, 1119, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93098, 3434, 2487, 891, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93135, 3396, 2405, 927, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93172, 3408, 1698, 1071, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93208, 3422, 1965, 1210, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93244, 3423, 1594, 863, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93281, 3656, 1042, 1513, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93317, 3725, 1092, 1824, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93354, 3367, 1781, 1314, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93390, 3166, 1525, 854, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93427, 3486, 2306, 860, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93463, 3530, 3089, 1274, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93500, 3318, 2296, 801, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93536, 3601, 2381, 966, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93573, 3620, 1784, 912, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93613, 3621, 1728, 907, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93653, 3653, 1605, 934, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93693, 3679, 1697, 1002, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
