77805, 4083, 1020, 50, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
77847, 4033, 938, 72, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
77889, 4063, 744, -24, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
77931, 4085, 717, -75, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
77973, 4013, 897, -195, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78012, 4028, 1160, -83, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78052, 4062, 920, 142, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78091, 4023, 987, 160, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78131, 3949, 914, 133, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78171, 4052, 997, 105, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78210, 4046, 1102, 198, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78250, 3996, 1146, 134, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78289, 4025, 711, 161, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78329, 3943, 1158, 176, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78369, 3965, 1351, 37, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78404, 3925, 1254, 170, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78439, 3976, 905, 231, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78474, 3999, 1275, 276, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78509, 3968, 1188, 329, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78544, 3902, 1262, 325, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78579, 3975, 1319, 316, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78614, 3946, 1255, 338, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78649, 3942, 1205, 301, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78684, 3933, 1282, 263, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78719, 3921, 1334, 269, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78754, 3853, 1654, 215, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78793, 3860, 1841, 158, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78833, 3845, 2074, 161, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78872, 3856, 1987, 314, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78912, 3856, 1534, 500, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78952, 3750, 1859, 539, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
78991, 3739, 1598, 646, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
79031, 3625, 1791, 757, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
79070, 3640, 1797, 657, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
79110, 3620, 1782, 663, 57, 6c27bd64-8e1e-4747-b92e-31f71dadb180, , iktidal, iktidal_tanpa_bersedekap, , 
