220766, 3274, 2471, 671, 82, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
220806, 3578, 1281, 1328, 82, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
220841, 3093, 2088, 949, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
220877, 3479, 2122, 916, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
220912, 3542, 2178, 752, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
220948, 3756, 1350, 888, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
220984, 3702, 1351, 1570, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221019, 3538, 1120, 1471, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221055, 3380, 2250, 1459, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221090, 3322, 2014, 1139, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221126, 3427, 1960, 954, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221162, 3539, 2567, 1852, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221200, 3060, 1624, 1441, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221238, 3438, 2209, 1604, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221277, 3664, 2548, 1438, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221315, 3555, 2328, 1397, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221354, 3089, 2124, 1117, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221392, 2884, 1542, 1034, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221431, 2906, 2232, 1276, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221469, 3096, 2207, 1381, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221508, 3133, 2208, 1231, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221546, 3365, 2240, 1308, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221585, 3291, 2257, 1270, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221623, 3339, 2353, 1044, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221662, 3458, 1658, 1434, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221700, 3494, 2193, 1065, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221739, 3633, 2236, 1017, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221777, 3604, 1999, 1068, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221816, 3540, 2001, 1095, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
