111548, 3971, 1066, -218, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111583, 3962, 1021, -198, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111618, 4018, 1006, -211, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111658, 4010, 973, -234, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111698, 4006, 1030, -242, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111738, 3977, 1047, -275, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111778, 3910, 1057, -261, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111818, 3970, 1087, -296, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111858, 3989, 1088, -258, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111898, 3985, 1061, -260, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111938, 3984, 1040, -265, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
111978, 3985, 1046, -275, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112019, 3992, 1032, -272, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112055, 3982, 1032, -263, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112091, 4015, 1041, -285, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112128, 4001, 1039, -285, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112164, 3992, 1046, -275, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112200, 4004, 1041, -263, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112237, 3958, 1034, -286, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112273, 3991, 1072, -259, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112309, 3980, 1097, -270, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112346, 3972, 1080, -307, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112382, 3970, 1027, -268, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112419, 3988, 1036, -251, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112467, 3994, 1053, -271, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112515, 3985, 1056, -275, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112563, 3999, 1060, -276, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112611, 4008, 1018, -287, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112659, 4009, 1029, -284, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112707, 4001, 1008, -262, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112755, 4002, 1030, -304, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112803, 3992, 1058, -297, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112851, 3963, 1083, -311, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112899, 3947, 1059, -303, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112932, 4005, 1030, -311, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112966, 3969, 1067, -277, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
112999, 3978, 1059, -311, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113033, 4011, 1055, -303, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113067, 3990, 1047, -321, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113100, 4007, 1074, -299, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113134, 3988, 1085, -270, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113167, 3970, 1095, -278, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113201, 3975, 1078, -333, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113235, 3960, 1018, -306, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113276, 4000, 1016, -280, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113317, 3978, 1045, -289, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113358, 3983, 1035, -304, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113399, 3989, 1027, -286, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113440, 4008, 1034, -306, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113481, 3971, 1089, -282, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113522, 3993, 1089, -286, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113563, 3939, 974, -293, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113604, 3960, 1013, -296, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113645, 3982, 1042, -301, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113687, 3969, 1021, -264, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113720, 3962, 1040, -243, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113754, 3980, 1031, -274, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113788, 3998, 1065, -290, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113822, 3982, 1073, -283, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113856, 3960, 1095, -306, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113889, 3991, 1107, -301, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113923, 3966, 1092, -283, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
