45640, 4378, 3016, -987, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
45669, 3031, 1364, -73, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
45711, 2691, 2256, -461, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
45754, 3366, 1340, -1099, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
45796, 3927, 2003, -1443, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
45839, 4199, 1380, -1230, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
45881, 4812, 725, -786, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
45924, 5301, 410, 1851, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
45966, 4500, -9901, 1620, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46009, 4815, -1427, 832, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46051, 4239, 683, -974, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46094, 4653, -414, -813, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46132, 4185, -1760, -192, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46171, 4296, -1748, 493, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46210, 3927, -198, 218, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46249, 3985, 690, -286, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46288, 4071, 871, -345, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46327, 4179, 975, -210, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46366, 4262, 636, 178, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46405, 4198, 154, 546, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46444, 4109, -136, 308, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46483, 4123, -100, -3, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46519, 4133, -178, -54, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46556, 4155, -289, 112, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46593, 4191, -126, 102, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46630, 4097, 125, 16, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
