171909, 4074, 1201, 312, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
171950, 4157, 1169, 353, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
171991, 4063, 1134, 313, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172031, 4112, 861, 191, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172072, 4072, 801, 134, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172113, 4057, 772, 83, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172153, 3966, 913, 32, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172194, 4044, 1154, 339, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172235, 3956, 1521, 351, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172276, 4047, 1009, 491, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172311, 3943, 1195, 408, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172347, 3968, 1372, 261, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172382, 4041, 1033, 162, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172418, 4094, 980, 136, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172454, 3984, 1117, 167, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172489, 3956, 1200, 87, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172525, 3952, 1460, 55, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172561, 3899, 1102, 373, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172596, 3930, 1458, 477, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172632, 4046, 961, 494, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172668, 3921, 973, 786, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172708, 3938, 1047, 773, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172748, 3893, 1016, 656, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172789, 3885, 1321, 531, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172829, 3896, 1124, 496, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172870, 3916, 1176, 572, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172910, 3928, 1175, 871, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172950, 3873, 1261, 746, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
172991, 3781, 1420, 739, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173031, 3778, 1230, 754, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173072, 3938, 1357, 766, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173112, 3957, 1802, 700, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173152, 3819, 1075, 813, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173193, 3836, 966, 607, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173233, 3849, 1014, 617, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173274, 3897, 997, 573, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173314, 3981, 1101, 494, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173354, 3970, 1226, 602, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173395, 3955, 1324, 644, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173435, 3897, 1421, 670, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173476, 3863, 1384, 773, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173511, 3862, 1477, 536, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
173547, 3902, 1651, 481, 97, 8d49f9ca-546b-47a0-91d8-5a550a09a4cc, , iktidal, iktidal_tanpa_bersedekap, , 
