270523, 4160, -130, -354, 80, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270562, 4110, 121, -528, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270602, 4135, 67, -454, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270642, 4076, 26, -388, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270681, 4096, 96, -422, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270721, 4117, 36, -439, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270761, 4166, 57, -359, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270800, 4140, 59, -378, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270840, 4115, 419, -535, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270880, 4137, 610, -424, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270920, 4344, 266, -245, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270955, 4154, 532, -536, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
270990, 4186, 297, -450, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271025, 4153, 664, -427, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271060, 4145, 576, -435, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271095, 4171, 170, -327, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271130, 4032, 179, -329, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271165, 3928, 383, -271, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271200, 4082, 736, -404, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271235, 4063, 599, -88, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271270, 4096, 641, 81, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271305, 4125, 1015, -398, 83, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271345, 4088, 1303, -491, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271385, 4342, 905, 181, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
