216001, 3887, 2425, -1290, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216038, 4177, 1734, -901, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216074, 3268, 2483, -1146, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216111, 2804, 1686, -821, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216148, 2932, 1933, -973, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216184, 3449, 1787, -1087, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216221, 4205, 1389, -1080, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216258, 4164, 1571, -1039, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216294, 4712, 544, -713, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216331, 4608, 2413, 1059, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216368, 4701, -3087, 1703, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216408, 3929, 96, 360, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216448, 4496, 52, -847, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
