104456, 4020, 1003, -90, 97, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104495, 4015, 733, -35, 97, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104534, 3971, 869, -26, 97, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104573, 4006, 564, 246, 97, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104612, 4043, 836, 237, 97, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104651, 4094, 916, 273, 97, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104687, 4117, 776, 102, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104724, 4096, 871, 92, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104761, 4060, 931, 71, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104797, 4034, 765, 254, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104834, 4004, 1089, 134, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104871, 3963, 1293, 75, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104908, 3930, 989, 99, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104944, 3940, 1105, 131, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
104981, 3994, 1134, 84, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105018, 3987, 1070, 37, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105055, 3957, 1132, -27, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105094, 4013, 1070, 56, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105133, 3942, 1031, 208, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105172, 3921, 958, 260, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105211, 3984, 1119, 237, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105250, 3945, 1246, 154, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105289, 3917, 1300, 45, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105328, 3943, 1365, -42, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105367, 3963, 1310, -43, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105406, 3954, 1313, -82, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105445, 3999, 1314, -67, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105482, 3950, 1291, -73, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105519, 3948, 1366, -43, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105556, 3949, 1330, -8, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105593, 3911, 1301, 11, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
105630, 3930, 1254, 84, 98, 94691278-9e18-4ae6-a441-3255ad72999c, , iktidal, iktidal_tanpa_bersedekap, , 
