521860, 3822, 674, -14, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
521899, 3952, 782, 91, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
521938, 4038, 904, 231, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
521978, 3977, 898, 446, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522017, 4111, 692, 615, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522056, 4125, 423, 811, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522096, 4130, 326, 905, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522140, 4130, 475, 745, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522185, 4027, 723, 515, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522229, 3995, 851, 376, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522274, 4008, 896, 339, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522319, 3996, 960, 354, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522363, 4025, 968, 411, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522408, 4009, 985, 553, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522452, 4000, 887, 585, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522497, 4036, 832, 544, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522542, 4042, 808, 507, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522573, 4019, 820, 456, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522604, 4011, 850, 455, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522636, 4038, 832, 485, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522667, 4017, 829, 496, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522698, 4032, 873, 491, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522730, 4042, 895, 490, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522761, 4014, 897, 487, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522792, 4023, 862, 499, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
