139863, 3706, 2058, 142, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
139908, 3764, 1802, 201, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
139953, 3795, 1532, 325, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
139998, 3891, 1549, 167, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140031, 3895, 1547, 213, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140065, 3937, 1423, 248, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140098, 3826, 1744, 184, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140132, 3795, 1550, 132, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140165, 3861, 1379, 171, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140199, 3840, 1556, 226, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140232, 3732, 2194, -48, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140266, 3870, 1624, 207, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140299, 3736, 1732, 591, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140333, 3803, 1523, 692, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140367, 3746, 1620, 568, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140407, 3646, 1791, 520, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140447, 3680, 1676, 516, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140488, 3685, 1674, 590, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140528, 3689, 1717, 589, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140569, 3689, 1722, 671, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140609, 3707, 1897, 715, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140649, 3675, 1822, 834, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140690, 3652, 1936, 809, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140730, 3673, 1841, 783, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140771, 3642, 1904, 703, 75, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140808, 3587, 1656, 680, 76, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140845, 3588, 1788, 661, 76, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140882, 3662, 1683, 819, 76, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140919, 3676, 1869, 609, 76, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140956, 3668, 2053, 666, 76, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
140994, 3640, 1882, 769, 76, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
141031, 3688, 1901, 743, 76, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
141068, 3681, 1993, 872, 76, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
141105, 3627, 1784, 791, 76, bb3ae24e-0781-474f-812c-055c370c6e5e, , iktidal, iktidal_tanpa_bersedekap, , 
