112827, 3498, 1733, -1555, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
112864, 3527, 1691, -1590, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
112901, 3353, 1665, -1634, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
112938, 3302, 1627, -1690, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
112975, 3338, 1754, -1647, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113013, 3334, 1782, -1644, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113050, 3366, 1694, -1623, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113087, 3393, 1728, -1648, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113124, 3402, 1648, -1676, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113161, 3378, 1543, -1645, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113199, 3319, 1608, -1675, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113234, 3295, 1780, -1746, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113269, 3322, 1775, -1703, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113304, 3379, 1657, -1705, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113339, 3358, 1624, -1734, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113374, 3341, 1623, -1765, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113409, 3359, 1603, -1739, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113444, 3359, 1628, -1735, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113479, 3328, 1616, -1743, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113514, 3325, 1681, -1742, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113549, 3357, 1694, -1762, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113584, 3339, 1681, -1765, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113626, 3314, 1649, -1782, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113669, 3340, 1647, -1713, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113712, 3315, 1664, -1744, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113755, 3327, 1652, -1750, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113798, 3311, 1689, -1746, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113841, 3314, 1703, -1774, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113884, 3333, 1653, -1776, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113927, 3331, 1670, -1756, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
113970, 3320, 1670, -1723, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114013, 3342, 1650, -1735, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114054, 3300, 1620, -1758, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114096, 3333, 1640, -1759, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114138, 3335, 1744, -1771, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114180, 3308, 1657, -1802, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114222, 3304, 1645, -1782, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114264, 3288, 1652, -1756, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114306, 3325, 1641, -1796, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114348, 3294, 1696, -1793, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114390, 3293, 1493, -1767, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114432, 3297, 1667, -1787, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114474, 3304, 1652, -1797, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114507, 3306, 1554, -1779, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114541, 3318, 1558, -1789, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
114575, 3299, 1490, -1803, 96, c8c5e560-c849-4d7f-a527-6bb2e45308ab, , iktidal, iktidal_tanpa_bersedekap, , 
