112340, 4121, -156, -270, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112377, 4177, -75, -192, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112414, 4150, 26, -269, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112451, 4121, 149, -261, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112488, 4133, 87, -255, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112525, 4095, 19, -227, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112562, 4131, -24, -239, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112600, 4118, 14, -247, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112639, 4100, 56, -259, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112678, 4134, -48, -174, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112716, 4159, 7, -194, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112755, 4136, 28, -173, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112794, 4121, 46, -211, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112832, 4123, 30, -224, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112871, 4119, 40, -227, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112910, 4126, 27, -198, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112949, 4135, -10, -219, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
112990, 4126, 49, -203, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113031, 4133, 50, -200, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113072, 4151, 5, -191, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113113, 4143, 24, -234, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113154, 4100, -23, -204, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113195, 4118, -19, -186, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113236, 4131, 56, -206, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113277, 4131, 56, -252, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113318, 4132, 10, -227, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113359, 4138, 5, -217, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113400, 4116, 11, -206, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113434, 4141, 54, -214, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113469, 4122, 79, -222, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113504, 4108, 145, -294, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113538, 4114, 471, -296, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113573, 4321, 197, -35, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113608, 4021, 410, -141, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113642, 4161, 501, -140, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113677, 4143, -44, -286, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113712, 4067, 360, -512, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113747, 4098, 254, -186, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113786, 4076, 217, -189, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113825, 4138, 339, -272, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113864, 4146, 241, -132, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113903, 4114, -53, 25, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113942, 4165, 388, -96, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
113981, 4141, 401, -170, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114020, 4096, 377, -74, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114059, 4070, 662, -103, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114098, 4099, 592, -79, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114137, 4082, 695, -132, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114176, 4040, 612, -77, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114213, 4058, 597, -68, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114250, 4091, 646, -10, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114287, 4103, 612, -10, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114324, 4076, 603, 109, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114362, 4090, 472, 152, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114399, 4151, 443, 42, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114436, 4082, 323, 42, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114473, 4145, 101, 83, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114510, 4097, 232, 278, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114548, 4128, 159, 224, 106, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114591, 4119, 336, 150, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114634, 4046, 598, 92, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114678, 4088, 699, 180, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114721, 4114, 716, 235, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114765, 4058, 709, 294, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114808, 4044, 791, 247, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114851, 4042, 765, 246, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114895, 4084, 836, 268, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114938, 4075, 730, 253, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
114982, 4042, 678, 279, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115015, 4094, 703, 239, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115048, 4079, 685, 217, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115081, 4071, 719, 237, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115114, 4069, 679, 231, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115147, 4037, 716, 250, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115180, 4086, 743, 253, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115213, 4033, 741, 208, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115246, 4064, 716, 246, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115279, 4055, 719, 255, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115312, 4056, 698, 275, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115346, 4075, 756, 177, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115384, 4046, 753, 187, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115423, 4040, 573, 195, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115461, 4085, 586, 171, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115500, 4062, 707, 122, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115538, 4029, 497, 265, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115577, 4098, 727, 227, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115615, 4088, 745, 195, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115654, 4092, 657, 147, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115692, 3999, 680, 82, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
115731, 4062, 681, 54, 107, c99f081c-00de-454c-9a7c-6eabfcba2cf2, , iktidal, iktidal_tanpa_bersedekap, , 
