92310, 3852, 521, -502, 111, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92344, 3825, 275, -427, 111, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92379, 3996, 512, -339, 111, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92417, 4138, 715, -256, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92456, 4145, 857, -221, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92495, 4149, 919, -221, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92533, 4099, 828, -293, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92572, 4061, 686, -357, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92611, 3998, 632, -425, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92650, 4024, 661, -412, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92688, 4044, 683, -377, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92727, 4071, 674, -354, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92766, 4109, 628, -338, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92805, 4080, 608, -342, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92845, 4061, 617, -395, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92886, 4022, 638, -414, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92926, 4061, 672, -379, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
92967, 4081, 644, -354, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93007, 4042, 677, -370, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93048, 4032, 685, -363, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93088, 4070, 673, -380, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93129, 4075, 669, -389, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93169, 4061, 640, -378, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93210, 4069, 621, -383, 113, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93246, 4087, 647, -379, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93283, 4059, 627, -385, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93320, 4077, 613, -390, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93357, 4093, 587, -406, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93394, 4113, 562, -420, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93431, 4039, 547, -503, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93468, 4043, 606, -501, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93505, 4049, 471, -382, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93542, 4115, 688, -397, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93579, 4096, 583, -423, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93615, 3985, 559, -440, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93652, 3980, 501, -473, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93689, 3908, 441, -528, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93725, 3898, 382, -495, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93762, 3860, 491, -706, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
93799, 3790, 483, -649, 114, d288819c-239c-4452-8bd0-5c5abe4419d8, , iktidal, iktidal_tanpa_bersedekap, , 
